measurement,cluster,frequency,power_spectral_density
140,11.0,1,2.1185
141,3.0,1,0.0031372
142,9.0,1,-0.12218
143,9.0,1,2.3375
144,6.0,1,-0.15589
145,3.0,1,-0.31069
146,2.0,1,-0.44384
147,2.0,1,-0.20576
148,2.0,1,0.56186
149,3.0,1,-0.37049
150,10.0,1,-0.41788
151,6.0,1,-0.47061
152,2.0,1,-0.81393
153,4.0,1,0.97685
154,2.0,1,-0.136
155,3.0,1,-0.42314
156,9.0,1,2.6652
157,2.0,1,1.9591
158,10.0,1,-0.58641
159,6.0,1,1.1058
160,4.0,1,-0.56175
161,5.0,1,0.48713
162,3.0,1,-0.35215
163,5.0,1,0.53614
164,2.0,1,-0.35553
165,3.0,1,-0.29567
166,7.0,1,-0.072948
167,10.0,1,-0.72549
168,5.0,1,4.819
169,10.0,1,0.30181
170,9.0,1,0.53948
171,1.0,1,0.91397
172,6.0,1,-0.11243
173,10.0,1,0.029367
174,3.0,1,-0.39694
175,7.0,1,-0.35817
176,1.0,1,-0.0036851
177,11.0,1,0.7819
178,4.0,1,1.3586
179,1.0,1,0.90089
180,7.0,1,-0.60689
181,10.0,1,-0.31042
182,9.0,1,0.48711
183,2.0,1,-0.48247
184,6.0,1,-0.37896
185,5.0,1,2.6492
186,4.0,1,1.1471
187,11.0,1,-0.080444
188,2.0,1,-0.28316
189,8.0,1,-0.42771
190,7.0,1,-0.32847
191,7.0,1,-0.38592
192,11.0,1,0.50302
193,4.0,1,3.3274
194,8.0,1,-0.21935
195,8.0,1,0.24045
196,1.0,1,0.44705
197,7.0,1,-0.40796
198,6.0,1,-0.35476
199,1.0,1,0.523
200,1.0,1,-0.26227
201,5.0,1,1.0407
202,4.0,1,-0.27907
203,10.0,1,-0.2574
204,2.0,1,-0.65774
205,5.0,1,-0.48581
206,11.0,1,1.1744
207,9.0,1,0.17204
208,8.0,1,0.27958
209,2.0,1,-0.81959
210,9.0,1,1.5582
211,1.0,1,-0.023661
212,1.0,1,-0.34319
213,4.0,1,-0.51323
214,1.0,1,-0.11921
215,3.0,1,-0.39171
216,7.0,1,-0.21309
217,1.0,1,0.28669
218,1.0,1,-0.14312
219,6.0,1,-0.53171
0,7.0,2,-0.23771
1,5.0,2,0.91557
2,9.0,2,0.42435
3,2.0,2,-0.50501
4,2.0,2,-0.059319
5,2.0,2,-0.29116
6,9.0,2,0.76017
7,2.0,2,-0.26547
8,8.0,2,-0.503
9,5.0,2,-0.62915
10,9.0,2,-0.04447
11,5.0,2,-0.48316
12,8.0,2,-0.27696
13,6.0,2,-0.45925
14,10.0,2,-0.39742
15,6.0,2,-0.27055
16,7.0,2,0.51456
17,9.0,2,-0.14281
18,2.0,2,-0.52978
19,1.0,2,-0.28498
20,7.0,2,-0.49857
21,8.0,2,-0.030592
22,3.0,2,0.24304
23,8.0,2,0.13774
24,1.0,2,2.3505
25,5.0,2,0.081192
26,9.0,2,1.6484
27,7.0,2,-0.29866
28,4.0,2,1.2826
29,1.0,2,-0.24487
30,7.0,2,-0.342
31,7.0,2,-0.39456
32,4.0,2,-0.24729
33,6.0,2,-0.36702
34,1.0,2,0.19953
35,6.0,2,-0.53454
36,3.0,2,-0.38897
37,6.0,2,-0.40177
38,9.0,2,2.9782
39,11.0,2,1.1602
40,2.0,2,-0.43287
41,7.0,2,-0.51612
42,10.0,2,-0.5358
43,8.0,2,-0.041049
44,3.0,2,-0.35903
45,10.0,2,0.27025
46,11.0,2,-0.26066
47,4.0,2,-0.40238
48,11.0,2,1.1713
49,3.0,2,-0.28318
50,11.0,2,1.6904
51,11.0,2,0.21991
52,6.0,2,-0.34063
53,11.0,2,-0.40115
54,9.0,2,0.84573
55,8.0,2,-0.12292
56,8.0,2,0.11582
57,9.0,2,-0.24044
58,4.0,2,0.016781
59,4.0,2,-0.465
60,4.0,2,-0.49256
61,4.0,2,-0.41878
62,4.0,2,-0.56404
63,7.0,2,-0.4147
64,6.0,2,-0.53845
65,7.0,2,-0.3499
66,3.0,2,-0.56138
67,2.0,2,-0.42642
68,1.0,2,-0.034769
69,5.0,2,0.7084
70,10.0,2,-0.31596
71,11.0,2,0.85378
72,10.0,2,-0.59552
73,6.0,2,-0.24917
74,2.0,2,0.78947
75,5.0,2,-0.49151
76,8.0,2,-0.33424
77,3.0,2,-0.36899
78,4.0,2,-0.55662
79,11.0,2,2.0363
80,8.0,2,0.77901
81,5.0,2,1.008
82,9.0,2,0.25599
83,10.0,2,-0.42912
84,8.0,2,0.31292
85,11.0,2,-0.42441
86,5.0,2,-0.50988
87,3.0,2,-0.34735
88,9.0,2,5.0136
89,2.0,2,-0.55059
90,7.0,2,-0.36726
91,8.0,2,-0.27155
92,9.0,2,-0.012654
93,8.0,2,-0.35152
94,1.0,2,-0.4268
95,7.0,2,-0.39917
96,11.0,2,-0.53495
97,10.0,2,-0.4116
98,3.0,2,0.0019101
99,6.0,2,-0.27311
100,3.0,2,-0.28453
101,10.0,2,-0.098609
102,6.0,2,-0.43707
103,9.0,2,0.48372
104,5.0,2,-0.41711
105,11.0,2,0.65402
106,4.0,2,0.20078
107,1.0,2,0.23677
108,10.0,2,-0.026793
109,8.0,2,-0.42321
110,3.0,2,-0.16134
111,8.0,2,-0.35997
112,3.0,2,-0.30591
113,4.0,2,-0.5175
114,10.0,2,-0.15903
115,10.0,2,-0.38442
116,8.0,2,-0.52582
117,6.0,2,-0.44857
118,5.0,2,0.64428
119,11.0,2,0.1587
120,6.0,2,-0.14533
121,1.0,2,2.0377
122,10.0,2,-0.34984
123,4.0,2,0.047566
124,5.0,2,0.29618
125,7.0,2,-0.38225
126,11.0,2,-0.47835
127,5.0,2,0.31936
128,5.0,2,-0.052103
129,9.0,2,0.65056
130,7.0,2,-0.21731
131,5.0,2,-0.13255
132,3.0,2,-0.32318
133,11.0,2,-0.60175
134,6.0,2,-0.39111
135,4.0,2,0.18592
136,8.0,2,-0.44257
137,11.0,2,0.65716
138,10.0,2,1.5345
139,1.0,2,-0.28013
140,11.0,2,2.1113
141,3.0,2,-0.055356
142,9.0,2,-0.15364
143,9.0,2,1.8128
144,6.0,2,-0.22933
145,3.0,2,-0.27758
146,2.0,2,-0.4435
147,2.0,2,-0.19099
148,2.0,2,0.25409
149,3.0,2,-0.37128
150,10.0,2,-0.37942
151,6.0,2,-0.47181
152,2.0,2,-0.7905
153,4.0,2,0.52096
154,2.0,2,-0.12726
155,3.0,2,-0.44056
156,9.0,2,2.6622
157,2.0,2,1.6332
158,10.0,2,-0.58008
159,6.0,2,0.83507
160,4.0,2,-0.56108
161,5.0,2,0.37704
162,3.0,2,-0.35536
163,5.0,2,0.62965
164,2.0,2,-0.3563
165,3.0,2,-0.32587
166,7.0,2,-0.26233
167,10.0,2,-0.71485
168,5.0,2,4.0264
169,10.0,2,0.36807
170,9.0,2,0.46277
171,1.0,2,0.64802
172,6.0,2,-0.19047
173,10.0,2,-0.21183
174,3.0,2,-0.39682
175,7.0,2,-0.34586
176,1.0,2,-0.17011
177,11.0,2,0.39218
178,4.0,2,1.2151
179,1.0,2,0.55841
180,7.0,2,-0.62253
181,10.0,2,-0.30444
182,9.0,2,0.27373
183,2.0,2,-0.41744
184,6.0,2,-0.4196
185,5.0,2,2.6048
186,4.0,2,0.85121
187,11.0,2,0.23966
188,2.0,2,-0.28151
189,8.0,2,-0.4586
190,7.0,2,-0.33017
191,7.0,2,-0.38657
192,11.0,2,1.1304
193,4.0,2,2.7273
194,8.0,2,-0.255
195,8.0,2,0.08443
196,1.0,2,0.26425
197,7.0,2,-0.40704
198,6.0,2,-0.36402
199,1.0,2,0.3132
200,1.0,2,-0.31886
201,5.0,2,0.58757
202,4.0,2,-0.29095
203,10.0,2,-0.26085
204,2.0,2,-0.65633
205,5.0,2,-0.48547
206,11.0,2,0.90658
207,9.0,2,0.10314
208,8.0,2,0.020229
209,2.0,2,-0.86935
210,9.0,2,1.6129
211,1.0,2,-0.16296
212,1.0,2,-0.34312
213,4.0,2,-0.49344
214,1.0,2,-0.22543
215,3.0,2,-0.39203
216,7.0,2,-0.22604
217,1.0,2,0.15134
218,1.0,2,-0.17877
219,6.0,2,-0.46846
0,7.0,3,-0.27745
1,5.0,3,0.87682
2,9.0,3,0.47116
3,2.0,3,-0.5948
4,2.0,3,-0.11094
5,2.0,3,-0.28562
6,9.0,3,0.62723
7,2.0,3,-0.18146
8,8.0,3,-0.50302
9,5.0,3,-0.62198
10,9.0,3,-0.10293
11,5.0,3,-0.48254
12,8.0,3,-0.25979
13,6.0,3,-0.47189
14,10.0,3,-0.39336
15,6.0,3,-0.13655
16,7.0,3,0.22947
17,9.0,3,-0.092559
18,2.0,3,-0.47504
19,1.0,3,-0.2951
20,7.0,3,-0.51959
21,8.0,3,-0.20429
22,3.0,3,0.11048
23,8.0,3,0.0086835
24,1.0,3,1.6143
25,5.0,3,-0.0031344
26,9.0,3,1.5387
27,7.0,3,-0.33045
28,4.0,3,1.0905
29,1.0,3,-0.26355
30,7.0,3,-0.38429
31,7.0,3,-0.39666
32,4.0,3,-0.31141
33,6.0,3,-0.37959
34,1.0,3,0.10115
35,6.0,3,-0.5446
36,3.0,3,-0.39084
37,6.0,3,-0.41958
38,9.0,3,2.7961
39,11.0,3,1.3167
40,2.0,3,-0.43204
41,7.0,3,-0.51511
42,10.0,3,-0.4928
43,8.0,3,-0.17768
44,3.0,3,-0.38742
45,10.0,3,0.22131
46,11.0,3,-0.16268
47,4.0,3,-0.45517
48,11.0,3,0.85563
49,3.0,3,-0.29127
50,11.0,3,1.3423
51,11.0,3,0.54208
52,6.0,3,-0.36607
53,11.0,3,-0.13295
54,9.0,3,0.85907
55,8.0,3,-0.24789
56,8.0,3,-0.0084221
57,9.0,3,-0.30005
58,4.0,3,-0.08639
59,4.0,3,-0.4636
60,4.0,3,-0.49228
61,4.0,3,-0.45633
62,4.0,3,-0.53843
63,7.0,3,-0.4488
64,6.0,3,-0.57792
65,7.0,3,-0.41639
66,3.0,3,-0.5406
67,2.0,3,-0.42716
68,1.0,3,-0.15458
69,5.0,3,0.52896
70,10.0,3,-0.33191
71,11.0,3,1.2595
72,10.0,3,-0.56546
73,6.0,3,-0.27288
74,2.0,3,0.84216
75,5.0,3,-0.49177
76,8.0,3,-0.38643
77,3.0,3,-0.36945
78,4.0,3,-0.56329
79,11.0,3,2.7671
80,8.0,3,0.50604
81,5.0,3,0.88577
82,9.0,3,0.20712
83,10.0,3,-0.42676
84,8.0,3,0.058564
85,11.0,3,-0.40023
86,5.0,3,-0.50986
87,3.0,3,-0.37858
88,9.0,3,4.1485
89,2.0,3,-0.51149
90,7.0,3,-0.36972
91,8.0,3,-0.36046
92,9.0,3,-0.040111
93,8.0,3,-0.37976
94,1.0,3,-0.42607
95,7.0,3,-0.40638
96,11.0,3,-0.39871
97,10.0,3,-0.39442
98,3.0,3,0.15614
99,6.0,3,-0.3227
100,3.0,3,-0.24049
101,10.0,3,-0.20906
102,6.0,3,-0.4795
103,9.0,3,0.2647
104,5.0,3,-0.41558
105,11.0,3,0.74971
106,4.0,3,0.13987
107,1.0,3,0.042726
108,10.0,3,0.08968
109,8.0,3,-0.45397
110,3.0,3,-0.17696
111,8.0,3,-0.38967
112,3.0,3,-0.32099
113,4.0,3,-0.52836
114,10.0,3,-0.16141
115,10.0,3,-0.384
116,8.0,3,-0.52581
117,6.0,3,-0.49522
118,5.0,3,0.29679
119,11.0,3,0.14122
120,6.0,3,-0.19849
121,1.0,3,1.4086
122,10.0,3,-0.31558
123,4.0,3,-0.082753
124,5.0,3,0.12851
125,7.0,3,-0.4251
126,11.0,3,-0.45189
127,5.0,3,0.10836
128,5.0,3,-0.085454
129,9.0,3,0.49844
130,7.0,3,-0.3246
131,5.0,3,-0.24649
132,3.0,3,-0.3481
133,11.0,3,-0.55361
134,6.0,3,-0.40835
135,4.0,3,-0.026656
136,8.0,3,-0.43952
137,11.0,3,0.60567
138,10.0,3,1.2463
139,1.0,3,-0.32399
140,11.0,3,2.0168
141,3.0,3,-0.10743
142,9.0,3,-0.19792
143,9.0,3,1.4947
144,6.0,3,-0.32347
145,3.0,3,-0.23929
146,2.0,3,-0.44479
147,2.0,3,-0.15679
148,2.0,3,0.082602
149,3.0,3,-0.37174
150,10.0,3,-0.31348
151,6.0,3,-0.47251
152,2.0,3,-0.74074
153,4.0,3,0.1659
154,2.0,3,-0.1394
155,3.0,3,-0.45524
156,9.0,3,2.7488
157,2.0,3,1.3714
158,10.0,3,-0.56638
159,6.0,3,0.51386
160,4.0,3,-0.55884
161,5.0,3,0.27906
162,3.0,3,-0.35518
163,5.0,3,0.59137
164,2.0,3,-0.34473
165,3.0,3,-0.35685
166,7.0,3,-0.39925
167,10.0,3,-0.70393
168,5.0,3,3.6764
169,10.0,3,0.44589
170,9.0,3,0.34262
171,1.0,3,0.35893
172,6.0,3,-0.27744
173,10.0,3,-0.35547
174,3.0,3,-0.39696
175,7.0,3,-0.34785
176,1.0,3,-0.21701
177,11.0,3,0.41652
178,4.0,3,1.0055
179,1.0,3,0.24446
180,7.0,3,-0.62652
181,10.0,3,-0.2869
182,9.0,3,0.13486
183,2.0,3,-0.32561
184,6.0,3,-0.44412
185,5.0,3,2.3465
186,4.0,3,0.58779
187,11.0,3,0.48095
188,2.0,3,-0.17417
189,8.0,3,-0.46226
190,7.0,3,-0.32923
191,7.0,3,-0.38674
192,11.0,3,1.9131
193,4.0,3,2.2284
194,8.0,3,-0.28431
195,8.0,3,-0.00015397
196,1.0,3,0.17228
197,7.0,3,-0.40832
198,6.0,3,-0.36836
199,1.0,3,0.096991
200,1.0,3,-0.34402
201,5.0,3,0.54713
202,4.0,3,-0.31147
203,10.0,3,-0.23536
204,2.0,3,-0.65125
205,5.0,3,-0.4852
206,11.0,3,0.73701
207,9.0,3,0.079328
208,8.0,3,-0.12715
209,2.0,3,-0.87072
210,9.0,3,1.617
211,1.0,3,-0.18544
212,1.0,3,-0.34436
213,4.0,3,-0.46992
214,1.0,3,-0.28071
215,3.0,3,-0.39158
216,7.0,3,-0.23924
217,1.0,3,0.086262
218,1.0,3,-0.20823
219,6.0,3,-0.39739
0,7.0,4,-0.30747
1,5.0,4,0.79235
2,9.0,4,0.42668
3,2.0,4,-0.63984
4,2.0,4,-0.14859
5,2.0,4,-0.28195
6,9.0,4,0.65911
7,2.0,4,-0.19307
8,8.0,4,-0.50301
9,5.0,4,-0.62003
10,9.0,4,-0.098694
11,5.0,4,-0.48106
12,8.0,4,-0.23604
13,6.0,4,-0.47312
14,10.0,4,-0.38667
15,6.0,4,0.01945
16,7.0,4,0.015976
17,9.0,4,-0.0028808
18,2.0,4,-0.39672
19,1.0,4,-0.29743
20,7.0,4,-0.52604
21,8.0,4,-0.31787
22,3.0,4,0.021827
23,8.0,4,-0.089744
24,1.0,4,0.95267
25,5.0,4,0.0062265
26,9.0,4,1.4295
27,7.0,4,-0.34613
28,4.0,4,0.82724
29,1.0,4,-0.27735
30,7.0,4,-0.42145
31,7.0,4,-0.39862
32,4.0,4,-0.36484
33,6.0,4,-0.39663
34,1.0,4,-0.066435
35,6.0,4,-0.55131
36,3.0,4,-0.38976
37,6.0,4,-0.42545
38,9.0,4,2.6643
39,11.0,4,1.679
40,2.0,4,-0.42921
41,7.0,4,-0.51412
42,10.0,4,-0.43207
43,8.0,4,-0.25619
44,3.0,4,-0.41793
45,10.0,4,0.16258
46,11.0,4,-0.044562
47,4.0,4,-0.47322
48,11.0,4,0.53852
49,3.0,4,-0.30503
50,11.0,4,1.5675
51,11.0,4,1.0747
52,6.0,4,-0.43576
53,11.0,4,0.1993
54,9.0,4,0.75048
55,8.0,4,-0.36008
56,8.0,4,-0.17745
57,9.0,4,-0.31478
58,4.0,4,-0.19455
59,4.0,4,-0.46042
60,4.0,4,-0.49182
61,4.0,4,-0.48753
62,4.0,4,-0.51586
63,7.0,4,-0.47465
64,6.0,4,-0.61999
65,7.0,4,-0.46256
66,3.0,4,-0.5169
67,2.0,4,-0.42737
68,1.0,4,-0.21964
69,5.0,4,0.38493
70,10.0,4,-0.32557
71,11.0,4,1.7344
72,10.0,4,-0.51755
73,6.0,4,-0.27537
74,2.0,4,0.96387
75,5.0,4,-0.49241
76,8.0,4,-0.41053
77,3.0,4,-0.3694
78,4.0,4,-0.56528
79,11.0,4,3.1593
80,8.0,4,0.31765
81,5.0,4,0.79087
82,9.0,4,0.23692
83,10.0,4,-0.42985
84,8.0,4,-0.15592
85,11.0,4,-0.3247
86,5.0,4,-0.50981
87,3.0,4,-0.39675
88,9.0,4,3.0708
89,2.0,4,-0.49373
90,7.0,4,-0.37127
91,8.0,4,-0.42237
92,9.0,4,-0.084256
93,8.0,4,-0.4118
94,1.0,4,-0.42521
95,7.0,4,-0.41006
96,11.0,4,-0.22988
97,10.0,4,-0.33474
98,3.0,4,0.24378
99,6.0,4,-0.36591
100,3.0,4,-0.21166
101,10.0,4,-0.28677
102,6.0,4,-0.50946
103,9.0,4,0.068138
104,5.0,4,-0.41334
105,11.0,4,0.67547
106,4.0,4,0.060463
107,1.0,4,-0.11969
108,10.0,4,0.23565
109,8.0,4,-0.46251
110,3.0,4,-0.19201
111,8.0,4,-0.39751
112,3.0,4,-0.33637
113,4.0,4,-0.53486
114,10.0,4,-0.15151
115,10.0,4,-0.37926
116,8.0,4,-0.52567
117,6.0,4,-0.53356
118,5.0,4,0.028373
119,11.0,4,0.1974
120,6.0,4,-0.26236
121,1.0,4,0.92629
122,10.0,4,-0.28267
123,4.0,4,-0.17294
124,5.0,4,-0.073205
125,7.0,4,-0.45397
126,11.0,4,-0.41141
127,5.0,4,-0.021255
128,5.0,4,-0.090248
129,9.0,4,0.4013
130,7.0,4,-0.37286
131,5.0,4,-0.29531
132,3.0,4,-0.3672
133,11.0,4,-0.4922
134,6.0,4,-0.42758
135,4.0,4,-0.1888
136,8.0,4,-0.4377
137,11.0,4,0.59523
138,10.0,4,0.89476
139,1.0,4,-0.33173
140,11.0,4,2.0304
141,3.0,4,-0.15773
142,9.0,4,-0.21671
143,9.0,4,1.3175
144,6.0,4,-0.39937
145,3.0,4,-0.16076
146,2.0,4,-0.44282
147,2.0,4,-0.16366
148,2.0,4,-0.031914
149,3.0,4,-0.372
150,10.0,4,-0.23051
151,6.0,4,-0.47207
152,2.0,4,-0.66293
153,4.0,4,-0.068161
154,2.0,4,-0.12904
155,3.0,4,-0.45924
156,9.0,4,2.5587
157,2.0,4,1.2759
158,10.0,4,-0.54232
159,6.0,4,0.31387
160,4.0,4,-0.55015
161,5.0,4,0.17384
162,3.0,4,-0.35559
163,5.0,4,0.58839
164,2.0,4,-0.35228
165,3.0,4,-0.38405
166,7.0,4,-0.48342
167,10.0,4,-0.68381
168,5.0,4,3.2479
169,10.0,4,0.53872
170,9.0,4,0.20285
171,1.0,4,0.17095
172,6.0,4,-0.29953
173,10.0,4,-0.45416
174,3.0,4,-0.39711
175,7.0,4,-0.31637
176,1.0,4,-0.1853
177,11.0,4,0.43948
178,4.0,4,0.77111
179,1.0,4,0.11202
180,7.0,4,-0.62492
181,10.0,4,-0.23202
182,9.0,4,0.062269
183,2.0,4,-0.20582
184,6.0,4,-0.45284
185,5.0,4,2.014
186,4.0,4,0.34243
187,11.0,4,0.6232
188,2.0,4,-0.079239
189,8.0,4,-0.49204
190,7.0,4,-0.32606
191,7.0,4,-0.38668
192,11.0,4,2.7013
193,4.0,4,1.7077
194,8.0,4,-0.30118
195,8.0,4,-0.082891
196,1.0,4,0.044952
197,7.0,4,-0.39738
198,6.0,4,-0.36973
199,1.0,4,-0.057208
200,1.0,4,-0.35295
201,5.0,4,0.56357
202,4.0,4,-0.31874
203,10.0,4,-0.15153
204,2.0,4,-0.64248
205,5.0,4,-0.48518
206,11.0,4,0.89048
207,9.0,4,0.052586
208,8.0,4,-0.19723
209,2.0,4,-0.86388
210,9.0,4,1.5606
211,1.0,4,-0.17941
212,1.0,4,-0.34391
213,4.0,4,-0.4379
214,1.0,4,-0.3148
215,3.0,4,-0.39148
216,7.0,4,-0.25161
217,1.0,4,0.033243
218,1.0,4,-0.23172
219,6.0,4,-0.32887
0,7.0,5,-0.32296
1,5.0,5,0.61691
2,9.0,5,0.27065
3,2.0,5,-0.64701
4,2.0,5,-0.16831
5,2.0,5,-0.27424
6,9.0,5,0.56965
7,2.0,5,-0.22377
8,8.0,5,-0.5029
9,5.0,5,-0.61232
10,9.0,5,-0.080611
11,5.0,5,-0.4789
12,8.0,5,-0.20821
13,6.0,5,-0.46901
14,10.0,5,-0.37705
15,6.0,5,0.17843
16,7.0,5,-0.10611
17,9.0,5,0.13323
18,2.0,5,-0.29953
19,1.0,5,-0.29223
20,7.0,5,-0.53618
21,8.0,5,-0.34792
22,3.0,5,-0.025235
23,8.0,5,-0.13532
24,1.0,5,0.59454
25,5.0,5,-0.026542
26,9.0,5,1.2212
27,7.0,5,-0.35155
28,4.0,5,0.46966
29,1.0,5,-0.28926
30,7.0,5,-0.48121
31,7.0,5,-0.39578
32,4.0,5,-0.39302
33,6.0,5,-0.41157
34,1.0,5,-0.18763
35,6.0,5,-0.55432
36,3.0,5,-0.38614
37,6.0,5,-0.43269
38,9.0,5,2.4981
39,11.0,5,2.1806
40,2.0,5,-0.42501
41,7.0,5,-0.51291
42,10.0,5,-0.35519
43,8.0,5,-0.27957
44,3.0,5,-0.43962
45,10.0,5,0.1277
46,11.0,5,0.047607
47,4.0,5,-0.49048
48,11.0,5,0.26831
49,3.0,5,-0.31946
50,11.0,5,1.644
51,11.0,5,1.5999
52,6.0,5,-0.49583
53,11.0,5,0.57688
54,9.0,5,0.58061
55,8.0,5,-0.4497
56,8.0,5,-0.35243
57,9.0,5,-0.31396
58,4.0,5,-0.2968
59,4.0,5,-0.45527
60,4.0,5,-0.49256
61,4.0,5,-0.50981
62,4.0,5,-0.4956
63,7.0,5,-0.47786
64,6.0,5,-0.65853
65,7.0,5,-0.4896
66,3.0,5,-0.49241
67,2.0,5,-0.42711
68,1.0,5,-0.28336
69,5.0,5,0.27197
70,10.0,5,-0.28541
71,11.0,5,2.0753
72,10.0,5,-0.45029
73,6.0,5,-0.29687
74,2.0,5,1.0959
75,5.0,5,-0.49241
76,8.0,5,-0.42784
77,3.0,5,-0.3699
78,4.0,5,-0.55604
79,11.0,5,3.4445
80,8.0,5,0.128
81,5.0,5,0.69627
82,9.0,5,0.27192
83,10.0,5,-0.43826
84,8.0,5,-0.33047
85,11.0,5,-0.16633
86,5.0,5,-0.50981
87,3.0,5,-0.41988
88,9.0,5,2.3223
89,2.0,5,-0.47507
90,7.0,5,-0.37312
91,8.0,5,-0.47228
92,9.0,5,-0.16942
93,8.0,5,-0.43038
94,1.0,5,-0.42426
95,7.0,5,-0.4116
96,11.0,5,-0.15267
97,10.0,5,-0.21993
98,3.0,5,0.38993
99,6.0,5,-0.39976
100,3.0,5,-0.20377
101,10.0,5,-0.32149
102,6.0,5,-0.52149
103,9.0,5,-0.080978
104,5.0,5,-0.41152
105,11.0,5,1.0618
106,4.0,5,-0.040253
107,1.0,5,-0.2541
108,10.0,5,0.41458
109,8.0,5,-0.45102
110,3.0,5,-0.20446
111,8.0,5,-0.39854
112,3.0,5,-0.32956
113,4.0,5,-0.53945
114,10.0,5,-0.15375
115,10.0,5,-0.35485
116,8.0,5,-0.5255
117,6.0,5,-0.55599
118,5.0,5,-0.17577
119,11.0,5,0.3199
120,6.0,5,-0.3147
121,1.0,5,0.619
122,10.0,5,-0.25395
123,4.0,5,-0.2219
124,5.0,5,-0.1595
125,7.0,5,-0.47015
126,11.0,5,-0.35089
127,5.0,5,-0.06728
128,5.0,5,-0.13942
129,9.0,5,0.31188
130,7.0,5,-0.39731
131,5.0,5,-0.32769
132,3.0,5,-0.38128
133,11.0,5,-0.36172
134,6.0,5,-0.45385
135,4.0,5,-0.30951
136,8.0,5,-0.43436
137,11.0,5,0.59332
138,10.0,5,0.68451
139,1.0,5,-0.37957
